Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
32.8,71.6,23.3,30.3,23.4,16.8,1.75,7.4,632,Moderate
34.9,83.9,7.0,9.5,31.4,7.8,1.68,5.1,524,Moderate
24.5,73.2,3.5,7.3,25.3,4.6,1.37,10.7,399,Good
23.6,43.3,5.4,10.2,16.4,6.8,1.04,15.8,368,Good
31.6,76.0,3.8,12.5,19.3,6.5,1.56,5.8,317,Moderate
26.2,51.9,9.4,13.7,22.5,4.9,1.01,10.1,449,Good
21.5,51.7,5.2,11.1,22.5,3.9,0.87,11.7,497,Good
26.1,76.9,9.1,16.2,27.8,5.2,1.24,10.3,349,Good
28.6,86.6,8.7,20.7,18.6,6.9,1.79,8.3,483,Moderate
35.7,50.3,1.2,13.7,20.8,5.9,1.63,6.2,463,Moderate
32.4,70.4,75.2,91.5,44.8,25.7,2.06,13.7,771,Hazardous
23.7,52.4,0.3,4.5,18.7,6.3,1.04,10.7,313,Good
32.4,56.5,0.0,13.9,27.2,5.3,1.0,5.4,412,Moderate
24.4,48.1,21.9,29.7,11.1,12.7,0.97,10.6,572,Good
24.1,55.2,7.8,11.6,17.7,6.1,0.95,10.9,461,Good
28.6,65.2,40.2,44.4,20.5,5.2,1.13,12.3,492,Good
36.2,62.4,34.7,53.1,22.8,7.8,1.27,6.7,407,Moderate
31.2,55.8,19.5,27.0,20.5,13.4,1.47,6.1,402,Moderate
23.6,80.8,2.6,8.3,22.9,4.3,0.97,10.5,509,Good
29.3,44.4,1.4,5.7,14.4,2.3,0.98,10.1,284,Good
27.8,42.0,20.7,24.5,18.2,2.9,0.89,13.2,253,Good
27.4,79.4,6.0,11.9,35.5,17.6,2.47,3.5,831,Hazardous
34.4,85.0,39.8,43.4,22.9,7.6,2.3,4.3,630,Poor
27.0,58.1,8.5,12.2,25.8,5.5,0.99,17.8,324,Good
18.5,61.3,5.6,8.9,21.5,7.2,0.86,10.8,226,Good
48.8,95.8,9.8,28.0,36.0,33.7,2.59,2.6,586,Hazardous
27.7,83.6,3.8,19.9,32.9,17.8,2.09,5.3,632,Poor
33.7,72.5,6.9,22.6,22.8,16.2,1.48,8.5,644,Moderate
20.6,63.5,14.1,23.5,30.0,8.3,1.54,6.1,646,Moderate
27.8,96.1,4.5,31.9,39.5,0.7,1.99,4.5,614,Poor
32.9,66.0,7.6,11.9,22.8,11.4,1.67,6.9,686,Moderate
29.0,81.3,60.0,76.1,24.2,5.8,1.05,6.4,511,Moderate
28.8,71.7,20.0,25.6,16.7,6.1,0.97,11.9,539,Good
23.6,47.8,3.8,6.4,14.0,3.3,1.09,10.4,209,Good
31.5,80.1,26.2,28.0,14.9,7.3,1.21,7.6,317,Moderate
23.3,70.8,23.7,36.1,23.5,8.4,1.43,7.6,450,Moderate
37.2,91.9,0.1,14.3,39.2,21.2,1.6,3.5,435,Poor
30.7,81.5,6.0,9.7,26.7,12.5,1.53,5.3,473,Moderate
32.4,80.4,36.4,52.2,36.8,21.1,1.76,9.0,643,Poor
34.1,53.4,31.9,44.3,28.7,16.6,1.54,7.5,622,Moderate
25.1,43.3,23.0,28.6,24.2,3.9,1.01,16.0,392,Good
25.7,82.4,44.6,54.5,21.2,5.8,1.44,5.2,580,Moderate
25.1,49.8,0.1,6.0,22.4,3.3,0.73,11.8,510,Good
31.0,59.6,5.0,16.8,24.2,13.6,1.38,6.3,443,Moderate
25.7,70.3,0.7,5.4,14.0,10.0,0.91,11.1,374,Good
25.0,68.8,0.4,5.6,14.1,5.1,0.94,10.4,595,Good
27.8,42.1,1.5,5.3,13.5,3.8,1.09,10.8,527,Good
34.2,85.7,2.8,11.8,38.3,9.0,1.36,9.2,590,Moderate
44.9,103.0,8.1,28.8,50.1,35.0,2.54,3.9,821,Hazardous
22.6,66.2,3.1,8.0,16.8,7.1,0.84,10.4,321,Good
29.9,84.5,11.5,24.0,22.2,7.7,1.69,5.1,424,Moderate
25.2,46.0,3.9,8.2,22.8,0.2,1.17,10.4,392,Good
36.8,71.4,5.4,46.1,41.7,6.3,2.35,2.6,846,Hazardous
34.4,87.9,216.9,240.0,50.7,15.3,2.53,4.3,578,Hazardous
26.7,53.9,2.9,6.4,11.1,6.6,0.96,11.8,533,Good
22.7,53.9,8.1,12.7,23.5,7.1,1.2,10.3,487,Good
21.3,53.4,16.1,22.3,19.3,3.7,0.98,11.8,314,Good
26.9,63.4,4.7,10.2,19.4,7.5,1.03,11.0,368,Good
20.5,61.9,2.6,4.7,24.8,5.4,0.97,11.3,296,Good
28.6,72.9,13.8,19.3,19.7,2.9,0.98,10.4,575,Good
29.5,69.6,11.8,18.2,28.9,6.7,0.94,11.7,363,Good
26.6,40.2,3.8,5.8,14.9,1.3,0.88,10.1,341,Good
29.9,86.8,33.4,41.3,20.6,8.3,1.46,10.6,295,Moderate
40.3,66.1,11.8,21.0,43.4,15.8,2.02,6.2,824,Poor
18.9,43.7,3.3,12.7,25.7,5.8,1.78,5.4,432,Moderate
27.0,43.9,6.7,12.3,11.3,6.2,0.95,10.7,279,Good
27.6,78.7,4.8,8.5,24.4,5.1,1.0,10.9,513,Good
20.7,73.0,5.6,14.0,12.1,5.9,0.9,13.9,425,Good
25.9,78.2,14.2,22.1,34.8,7.8,1.63,9.6,379,Moderate
27.1,46.8,26.3,34.7,16.5,6.6,0.92,10.6,428,Good
23.0,86.2,9.1,25.3,34.8,12.5,1.99,3.9,559,Poor
31.8,81.3,3.4,12.6,20.9,13.5,1.19,5.6,494,Moderate
30.2,75.6,15.3,18.2,20.7,4.6,0.95,12.3,445,Good
25.3,88.7,50.1,65.4,39.0,16.6,1.98,5.1,696,Poor
41.4,61.5,17.6,41.6,32.9,11.4,2.78,4.6,593,Poor
33.2,92.5,20.0,35.6,37.4,6.9,1.62,4.1,655,Poor
39.0,87.2,32.8,43.8,29.9,9.0,1.03,7.6,482,Moderate
31.7,59.3,6.9,16.7,29.4,7.0,1.37,11.9,323,Moderate
24.5,68.7,2.6,8.3,18.2,7.2,0.77,10.4,253,Good
36.5,68.3,4.4,19.3,32.0,14.8,2.18,8.2,771,Poor
37.8,79.1,63.0,85.1,52.6,20.1,2.6,6.5,778,Hazardous
27.7,51.1,16.1,20.2,26.0,6.0,0.99,10.6,562,Good
28.0,86.9,7.1,16.5,19.6,7.8,1.77,5.7,665,Moderate
19.2,51.9,6.3,10.6,20.9,7.7,1.1,10.1,500,Good
47.1,104.3,0.7,3.4,34.4,5.9,2.34,3.3,844,Hazardous
26.0,76.0,79.0,83.4,19.6,10.1,1.48,12.6,501,Moderate
37.7,78.2,22.0,25.8,17.9,9.3,1.97,6.0,697,Moderate
43.0,114.3,42.4,61.6,30.4,11.7,2.51,3.5,567,Hazardous
33.6,68.8,19.1,42.3,55.8,9.4,2.42,4.4,663,Hazardous
31.0,95.6,32.3,39.5,21.4,8.9,1.25,10.7,327,Moderate
34.3,77.6,6.9,14.1,29.1,17.0,1.87,5.4,694,Poor
25.2,85.8,47.2,55.6,25.4,11.5,1.35,7.8,337,Moderate
30.5,76.2,26.8,46.5,40.0,9.3,2.4,9.9,624,Poor
25.0,49.7,1.1,5.4,17.9,5.0,1.15,10.5,447,Good
39.4,109.1,34.9,56.8,36.1,3.1,2.02,5.7,454,Poor
27.6,53.6,7.1,10.4,28.4,4.5,0.87,10.3,591,Good
31.0,42.0,8.4,12.3,15.1,7.3,0.88,11.8,594,Good
40.0,52.7,1.0,12.1,34.3,5.3,1.25,6.2,355,Moderate
42.0,92.6,10.8,29.5,47.4,35.7,2.21,5.5,770,Hazardous
19.1,64.9,2.5,10.5,26.0,6.0,1.08,10.4,368,Good
40.3,110.3,21.7,36.2,43.1,23.4,2.3,5.8,746,Hazardous
30.0,39.0,8.7,13.1,15.1,6.2,0.95,11.8,492,Good
41.0,80.9,27.8,56.5,43.4,23.8,2.95,8.4,556,Hazardous
26.3,83.1,29.7,48.0,33.0,8.2,1.56,6.0,579,Moderate
22.3,82.6,36.7,44.8,31.4,6.5,1.56,5.4,350,Moderate
29.3,77.1,14.5,19.8,14.0,2.9,1.07,11.6,361,Good
17.2,75.7,22.8,29.4,23.7,2.3,1.11,10.7,389,Good
22.4,46.5,0.6,7.2,21.5,5.2,1.07,11.6,363,Good
23.5,76.1,43.1,54.8,49.2,26.1,1.56,2.7,782,Hazardous
36.1,55.2,5.6,17.2,23.0,9.5,1.7,5.7,317,Moderate
28.5,45.9,1.5,5.9,23.7,3.2,0.89,12.8,483,Good
23.6,79.9,5.3,12.4,16.3,5.0,0.99,18.6,528,Good
38.2,95.1,15.8,31.3,26.2,11.0,2.43,5.5,616,Poor
29.1,41.6,22.5,25.3,19.6,5.8,0.99,11.2,263,Good
20.7,59.2,8.8,14.1,23.1,1.9,0.99,10.7,346,Good
19.0,75.8,2.6,9.5,18.5,1.1,0.97,12.7,534,Good
29.9,82.5,12.0,25.6,37.5,11.2,1.63,3.8,597,Poor
34.6,71.4,20.4,32.4,22.9,7.0,1.64,7.6,514,Moderate
28.4,73.5,11.6,33.0,37.6,20.2,1.56,7.7,642,Poor
21.7,51.6,7.1,9.7,21.9,2.7,0.96,10.2,247,Good
41.0,98.3,96.1,122.2,47.2,27.7,2.97,4.1,686,Hazardous
25.4,59.3,5.6,8.4,11.9,4.3,0.9,10.4,465,Good
24.3,67.0,1.0,4.1,22.2,3.3,0.86,10.9,530,Good
37.4,105.6,22.8,44.9,31.1,9.5,2.68,3.6,563,Poor
36.4,78.0,31.2,47.9,30.4,6.8,2.07,4.4,656,Poor
23.3,45.2,24.0,29.0,26.6,5.3,0.96,10.9,575,Good
24.5,59.1,35.9,46.4,36.8,22.7,1.83,3.5,562,Poor
27.8,78.1,1.1,19.8,26.7,10.7,1.28,9.3,376,Moderate
27.7,81.8,1.1,8.9,26.5,20.1,1.33,5.2,317,Moderate
32.0,80.6,9.7,19.5,31.0,3.9,1.52,6.0,567,Moderate
17.6,77.1,20.0,24.3,22.6,5.2,0.99,12.2,487,Good
31.9,72.0,68.4,87.0,37.9,7.3,2.24,4.0,679,Poor
25.5,73.0,11.6,16.3,11.2,3.0,1.06,11.4,494,Good
29.9,67.5,1.6,8.5,30.0,12.8,1.45,5.1,615,Moderate
26.6,42.9,6.1,9.5,25.0,4.6,1.02,10.7,221,Good
38.5,96.6,1.0,29.0,56.8,25.8,3.02,5.7,571,Hazardous
40.0,88.7,29.3,46.0,45.1,20.7,2.03,3.2,821,Hazardous
22.4,62.4,16.8,21.1,20.1,4.9,0.85,11.6,591,Good
24.1,51.4,37.6,41.3,15.7,8.8,1.01,11.1,244,Good
28.1,39.9,2.8,7.6,18.2,4.8,1.08,10.8,470,Good
27.8,56.8,2.5,9.5,12.5,7.0,1.04,12.1,258,Good
27.3,71.6,30.3,35.3,27.8,6.6,1.03,11.2,237,Good
29.2,60.4,20.9,32.5,34.9,4.5,2.0,8.1,406,Moderate
29.2,83.7,5.8,20.6,25.7,11.9,1.46,5.1,698,Moderate
26.6,64.1,3.0,11.3,26.8,3.7,0.95,11.1,550,Good
28.9,109.5,3.6,21.7,62.1,13.5,2.35,2.7,678,Hazardous
31.0,65.1,7.6,8.9,23.4,4.2,1.11,13.7,580,Good
26.2,60.3,13.4,17.3,26.7,7.0,1.23,10.9,308,Good
30.3,68.2,5.4,16.0,29.5,4.0,1.49,5.3,645,Moderate
31.5,76.0,3.3,10.1,32.2,9.5,1.44,9.3,389,Moderate
27.6,61.5,0.0,4.5,25.1,4.3,1.07,11.0,536,Good
34.5,82.1,25.3,40.9,41.4,17.2,2.73,5.0,808,Hazardous
28.2,73.2,27.8,39.6,23.7,1.3,1.46,5.7,563,Moderate
24.2,80.6,21.4,29.9,24.5,9.9,1.82,5.9,334,Moderate
18.3,70.2,15.9,23.1,18.0,7.4,1.16,10.2,399,Good
30.0,76.4,16.2,18.9,15.9,6.3,1.05,12.3,315,Good
29.8,76.4,3.5,8.2,22.1,4.9,0.93,11.5,284,Good
39.4,101.1,16.6,36.8,49.8,30.4,2.01,3.6,789,Hazardous
31.1,116.9,16.1,35.6,31.7,20.7,2.73,4.5,544,Hazardous
27.1,88.3,20.9,25.4,35.1,4.5,1.75,6.1,506,Moderate
21.7,65.2,26.3,33.3,13.9,2.5,0.96,11.0,278,Good
23.5,74.6,0.3,6.6,16.8,3.9,1.22,13.1,491,Good
32.3,80.6,11.0,17.6,25.8,3.1,1.26,6.7,670,Moderate
25.2,75.4,7.6,14.2,30.4,2.9,1.46,6.0,536,Moderate
26.2,46.9,2.0,6.4,18.1,4.2,1.19,11.6,299,Good
25.9,56.0,36.7,38.0,14.4,6.7,1.0,10.4,572,Good
37.7,66.9,53.6,69.5,40.3,23.4,1.39,4.3,458,Poor
30.6,41.9,7.0,11.5,17.0,6.5,1.12,11.3,486,Good
35.2,57.6,46.5,59.0,22.3,4.7,1.37,5.3,650,Moderate
25.3,50.3,11.5,16.8,23.7,6.7,0.89,10.7,349,Good
49.2,81.8,89.9,113.7,48.6,21.6,1.97,2.7,654,Hazardous
20.3,52.3,2.0,6.0,25.1,4.7,0.95,13.4,277,Good
26.4,51.5,24.8,27.2,21.8,3.7,0.93,13.7,215,Good
32.7,94.8,7.8,15.2,34.1,9.8,1.63,5.4,392,Moderate
26.2,85.9,48.1,60.2,19.8,9.0,1.56,7.1,286,Moderate
31.5,67.4,36.0,49.0,48.1,14.3,2.34,4.2,799,Poor
48.6,88.7,37.5,64.1,34.3,5.6,1.75,6.2,592,Poor
32.4,97.5,25.4,42.8,33.4,10.6,2.02,4.6,792,Poor
20.9,59.2,3.0,9.5,20.5,4.1,0.96,10.7,590,Good
39.4,80.3,37.6,53.3,39.0,13.6,1.99,4.4,448,Poor
27.8,49.2,9.9,14.9,23.8,7.4,1.04,10.5,441,Good
38.8,97.9,0.1,12.2,43.2,7.9,1.27,4.0,567,Poor
32.4,63.5,6.4,14.7,38.5,11.4,1.81,3.8,501,Poor
27.0,92.6,9.9,20.1,24.3,11.1,1.19,6.2,453,Moderate
32.5,67.4,1.1,9.2,31.0,16.5,1.56,3.4,512,Poor
30.0,59.7,59.3,68.8,22.1,7.4,1.39,5.1,412,Moderate
22.3,66.1,11.3,15.4,26.8,14.1,1.32,5.5,497,Moderate
37.8,74.6,19.6,29.0,22.2,12.7,1.4,5.2,417,Moderate
23.5,86.3,4.3,23.8,32.3,5.6,1.46,9.5,427,Moderate
31.0,50.1,6.8,20.9,17.7,12.8,1.7,5.1,328,Moderate
25.2,66.5,20.7,25.0,24.3,4.0,0.88,14.2,297,Good
34.6,67.9,29.7,53.8,28.9,18.9,2.55,2.7,746,Hazardous
35.0,109.1,50.6,67.5,34.4,16.4,1.56,5.4,558,Poor
23.8,77.4,5.1,10.1,13.0,7.9,0.84,10.1,315,Good
31.3,65.1,26.0,33.8,27.3,22.0,2.01,4.4,631,Poor
28.1,81.5,0.4,11.7,27.2,10.0,1.7,5.1,530,Moderate
32.9,63.1,12.1,17.5,24.7,12.3,1.57,5.1,467,Moderate
26.0,64.6,1.1,9.2,14.1,5.2,0.72,10.1,246,Good
27.6,51.2,7.0,14.8,19.6,6.1,0.98,18.2,315,Good
40.0,75.6,16.8,35.2,34.9,14.2,2.09,6.5,591,Poor
30.3,86.8,16.4,30.2,38.2,22.4,2.39,5.7,479,Poor
31.8,71.4,18.6,32.0,18.7,13.9,1.3,5.5,483,Moderate
21.3,58.5,14.1,20.9,22.7,3.6,1.01,11.6,567,Good
29.7,54.0,0.2,7.6,15.6,4.4,0.93,10.8,401,Good
33.5,82.9,21.9,45.6,37.1,20.9,1.72,4.7,591,Poor
43.0,65.1,21.8,47.5,25.1,23.8,1.7,4.6,569,Poor
23.3,65.5,5.8,10.7,23.8,5.5,1.08,13.3,550,Good
39.3,92.3,16.0,36.1,51.6,23.9,2.3,7.3,476,Hazardous
36.7,75.1,19.7,40.7,38.1,26.6,2.67,11.5,875,Hazardous
30.7,99.1,57.4,74.7,40.7,17.9,2.85,3.1,761,Hazardous
24.5,40.6,0.5,4.1,25.4,4.2,1.02,11.7,494,Good
23.6,51.6,29.8,38.9,18.5,6.1,1.01,13.8,391,Good
31.0,80.4,3.3,13.9,29.6,7.1,1.31,7.1,353,Moderate
26.8,41.9,8.4,13.8,26.3,6.2,1.06,14.4,494,Good
30.4,93.5,8.5,29.2,36.6,16.3,1.64,6.0,766,Poor
25.1,48.3,46.2,56.6,17.7,6.5,1.8,7.3,353,Moderate
29.5,54.8,6.7,15.1,14.0,6.6,0.78,11.9,315,Good
29.1,61.2,12.1,18.5,17.5,5.1,2.03,9.3,502,Moderate
24.6,78.7,15.8,24.2,23.2,9.2,0.93,13.7,384,Good
33.5,77.4,14.6,23.4,29.4,7.5,1.59,6.1,480,Moderate
20.9,42.4,19.6,24.7,18.2,7.0,0.83,11.9,316,Good
25.0,68.6,9.8,13.2,23.1,4.2,0.98,11.1,578,Good
28.8,76.7,16.8,23.8,25.5,4.1,1.09,11.7,376,Good
27.4,83.7,11.4,18.5,18.3,8.4,1.74,7.1,425,Moderate
44.1,95.4,52.5,85.7,27.2,8.2,2.2,4.1,547,Hazardous
29.8,74.1,1.9,6.8,26.0,4.2,0.94,10.7,250,Good
25.3,83.3,33.9,44.0,35.9,9.1,1.41,6.2,488,Moderate
25.8,51.5,9.2,12.9,17.5,0.2,1.26,11.8,452,Good
30.6,72.5,7.3,12.3,28.1,10.0,1.68,5.4,555,Moderate
24.0,55.5,4.1,5.7,12.7,4.3,0.89,13.9,545,Good
30.9,57.8,15.3,28.1,26.5,10.6,1.35,5.1,380,Moderate
23.4,61.0,4.4,10.3,17.2,4.4,0.97,11.5,421,Good
30.3,60.5,6.5,11.1,16.5,6.0,1.07,14.9,307,Good
42.0,77.8,36.0,43.7,52.3,22.3,2.42,5.6,846,Hazardous
32.2,76.4,0.0,10.3,24.0,11.0,1.49,5.9,347,Moderate
28.6,84.4,17.7,33.8,34.3,21.7,2.42,4.0,712,Poor
37.7,93.3,115.9,145.3,33.2,16.2,2.0,8.2,374,Poor
23.8,73.7,14.0,16.6,14.5,2.3,1.17,10.2,606,Good
38.4,100.3,44.3,63.7,26.9,14.9,1.88,3.4,605,Poor
24.1,63.0,3.9,7.4,22.5,8.0,0.78,19.9,566,Good
37.4,77.5,14.6,21.9,28.2,6.5,1.09,5.8,642,Moderate
33.6,74.3,16.1,36.2,40.1,18.0,2.24,3.4,655,Poor
28.6,45.2,6.2,11.4,24.0,3.6,0.93,12.5,212,Good
28.7,52.5,5.8,11.7,13.4,5.9,1.05,15.8,454,Good
23.5,75.6,9.5,14.1,25.4,6.2,1.03,11.0,239,Good
25.6,78.5,7.8,12.4,13.6,6.1,0.89,10.1,398,Good
28.8,49.0,0.4,9.3,35.2,7.3,1.43,5.4,553,Moderate
30.7,93.7,135.1,144.6,36.7,20.0,2.12,4.1,531,Poor
40.6,81.7,52.6,76.5,39.3,14.8,1.74,6.0,755,Poor
24.5,62.2,7.7,12.4,25.2,7.3,1.65,8.8,393,Moderate
28.5,62.2,84.5,102.4,24.8,0.8,1.41,5.1,287,Moderate
23.5,74.5,1.7,5.9,25.3,4.9,1.01,12.4,312,Good
37.6,47.8,45.5,49.8,27.7,13.9,1.25,10.3,511,Moderate
23.1,45.4,4.6,14.4,20.0,7.8,1.09,10.4,310,Good
29.3,72.3,113.9,126.4,36.9,13.2,1.53,5.2,630,Moderate
35.8,80.0,37.1,44.5,38.0,14.8,2.03,3.5,538,Hazardous
25.2,62.9,4.1,12.3,27.6,8.4,1.03,10.9,276,Good
47.8,70.2,35.4,55.1,35.3,22.9,2.07,3.3,607,Hazardous
32.7,93.0,12.6,23.5,23.5,0.8,1.51,6.0,598,Moderate
23.0,52.0,14.1,15.5,20.1,4.9,0.76,11.9,497,Good
26.2,36.9,4.4,10.8,26.0,3.2,1.0,21.8,221,Good
26.6,56.1,1.6,4.6,23.2,4.4,0.87,10.2,322,Good
28.2,60.6,14.5,19.4,23.0,6.0,1.16,14.3,360,Good
34.8,60.9,38.2,54.1,24.0,15.6,1.28,10.8,308,Moderate
25.8,47.3,9.4,16.9,34.1,6.4,1.92,5.3,367,Moderate
34.5,71.4,29.5,52.6,37.9,17.1,2.09,3.9,744,Poor
24.4,59.3,8.9,15.7,26.4,6.6,0.94,10.4,576,Good
37.1,74.0,3.1,24.9,42.6,10.6,2.08,4.4,406,Poor
21.8,73.4,12.1,12.0,26.2,6.6,1.04,25.8,224,Good
21.4,77.6,7.7,11.2,25.2,5.0,0.94,12.6,547,Good
41.6,86.7,51.4,76.8,30.1,27.7,2.27,6.8,744,Hazardous
29.4,60.4,10.7,14.9,11.2,2.4,1.03,11.2,363,Good
22.2,74.0,90.0,99.8,29.1,10.7,1.94,5.2,573,Poor
25.8,77.8,3.3,9.3,19.5,6.3,1.27,13.3,343,Good
28.7,78.9,26.8,38.0,36.2,6.2,1.69,5.4,484,Moderate
37.0,78.3,12.0,24.3,23.7,6.1,1.7,7.6,485,Moderate
