,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
2208,24.0,86.1,27.9,40.8,17.3,7.3,1.36,9.9,491,Moderate
4222,25.3,73.0,6.0,12.1,23.0,8.9,0.97,11.2,571,Good
2192,27.3,103.2,38.7,45.3,29.0,11.5,1.37,11.8,477,Poor
4337,27.3,76.4,11.8,20.4,12.9,6.9,1.04,12.7,468,Good
2676,25.5,68.2,20.4,23.5,13.9,3.2,0.96,10.3,486,Good
2091,24.2,75.7,29.5,34.0,17.0,5.9,1.06,10.3,483,Good
3714,25.0,59.7,1.6,4.0,13.7,5.3,1.04,11.2,364,Good
452,40.9,81.8,0.7,15.7,27.7,17.9,1.82,5.9,577,Poor
2859,30.8,60.8,12.6,21.9,21.1,7.1,1.33,5.5,596,Moderate
4326,24.7,70.3,3.6,11.7,17.6,5.1,0.91,12.5,494,Good
4652,33.6,72.6,24.5,31.2,24.1,14.8,1.3,6.7,489,Moderate
532,24.5,63.2,2.0,8.7,22.9,5.0,1.07,12.3,561,Good
4558,36.2,58.4,2.0,14.7,22.9,5.9,1.17,5.5,533,Moderate
2545,30.2,72.3,3.4,14.2,28.2,8.5,1.84,6.9,422,Moderate
2847,34.9,69.9,10.7,17.5,23.0,12.0,1.28,6.9,720,Moderate
4395,21.7,57.9,14.7,20.7,13.6,5.3,0.92,10.3,338,Good
3313,45.4,82.6,12.9,29.4,41.6,14.1,2.29,5.1,841,Poor
1723,39.0,96.8,50.1,61.3,48.3,29.6,2.64,3.4,755,Hazardous
2613,22.0,72.9,20.9,25.6,13.4,6.3,1.02,10.9,544,Good
4473,32.8,62.4,24.0,42.7,32.9,25.0,2.29,6.2,415,Poor
2835,37.8,77.8,7.1,22.8,32.2,6.8,1.59,5.3,399,Moderate
3766,29.2,60.4,20.9,32.5,34.9,4.5,2.0,8.1,406,Moderate
347,26.0,68.3,7.8,13.9,11.7,2.7,0.99,12.3,307,Good
3155,36.1,87.2,76.7,98.2,35.3,27.6,2.5,3.5,771,Hazardous
1032,23.3,81.8,27.0,34.6,33.4,14.0,1.65,5.3,505,Moderate
3363,33.0,62.1,12.9,30.8,35.3,6.5,2.28,6.6,651,Poor
2489,23.8,73.7,14.0,16.6,14.5,2.3,1.17,10.2,606,Good
2027,27.7,68.1,30.4,35.6,28.8,5.0,0.86,11.0,485,Good
2778,25.0,56.6,3.9,10.9,16.5,4.0,1.06,11.1,583,Good
4184,32.1,53.9,7.5,16.9,29.2,18.1,1.59,5.3,328,Moderate
3201,37.5,58.7,5.6,22.7,22.0,9.2,1.56,9.6,467,Moderate
111,41.5,68.2,3.4,15.4,24.5,6.4,1.38,4.8,748,Poor
4636,32.7,50.3,26.8,40.9,22.0,8.1,1.68,9.1,417,Moderate
83,41.4,65.4,34.3,52.8,42.7,9.4,1.87,2.5,721,Hazardous
272,25.0,75.7,4.7,9.3,21.2,5.2,1.15,16.0,541,Good
2294,25.0,54.9,3.4,8.8,22.1,5.1,0.85,11.1,465,Good
1734,28.2,74.4,3.0,9.7,15.6,3.1,1.01,13.2,419,Good
1730,23.5,62.3,0.8,10.5,32.4,14.9,1.03,8.1,614,Moderate
744,32.6,77.3,12.9,33.1,38.9,8.3,1.86,4.3,529,Poor
4930,25.5,65.8,20.5,24.1,15.0,4.1,1.03,10.6,543,Good
1945,29.8,58.4,27.3,33.4,12.1,8.3,0.9,10.7,410,Good
361,27.8,78.1,1.1,19.8,26.7,10.7,1.28,9.3,376,Moderate
831,20.2,61.3,21.3,25.9,14.1,7.1,0.91,10.5,577,Good
3646,33.7,102.4,36.7,64.5,31.5,12.3,1.57,4.1,722,Poor
3340,37.1,70.6,9.6,28.2,33.2,5.2,2.49,3.7,711,Poor
2650,25.1,50.6,1.0,4.6,21.6,6.2,1.1,10.1,388,Good
4998,25.3,44.4,21.4,29.0,23.7,5.7,0.89,11.6,241,Good
4806,31.6,88.9,24.1,40.1,39.4,11.2,2.06,6.0,474,Poor
4025,19.9,46.2,15.4,22.1,17.9,7.8,1.07,16.9,568,Good
584,24.3,77.6,16.9,29.0,34.7,8.9,1.22,9.0,316,Moderate
965,19.7,62.7,22.4,27.5,19.4,3.1,1.18,10.6,396,Good
1496,25.4,80.0,3.5,11.4,24.1,8.9,1.03,13.7,373,Good
4942,41.2,93.9,12.4,31.2,31.3,18.7,2.16,5.5,568,Poor
2457,31.5,105.1,4.6,9.8,32.5,21.3,1.9,6.2,786,Poor
1534,27.6,51.3,6.0,12.7,32.6,6.4,1.44,5.1,386,Moderate
3995,25.3,60.8,10.2,15.7,16.2,5.0,1.18,15.3,406,Good
4895,36.8,79.1,1.7,14.1,37.1,19.1,2.17,4.0,659,Poor
3164,39.3,96.3,25.2,62.4,34.3,29.0,2.23,4.1,623,Hazardous
4463,26.6,70.9,5.9,18.2,26.9,11.7,1.5,5.3,573,Moderate
1973,42.6,98.3,5.8,11.7,35.4,25.2,2.33,8.4,561,Poor
1143,35.1,78.2,14.0,32.1,28.3,3.0,1.98,3.7,597,Poor
1955,23.3,52.6,9.4,17.5,21.0,12.1,1.41,10.8,498,Moderate
4479,33.4,85.5,55.9,60.9,36.0,10.2,1.64,3.7,698,Poor
3559,36.5,119.4,59.3,89.0,32.7,24.0,2.14,3.2,585,Hazardous
3612,33.4,74.2,23.3,38.5,24.2,14.5,2.16,6.7,724,Poor
778,26.7,67.6,3.9,7.9,23.5,6.2,0.99,10.4,366,Good
1401,29.9,54.2,24.6,38.5,30.9,14.1,1.67,7.0,359,Moderate
3533,42.2,101.8,35.7,55.9,55.3,17.1,2.17,8.5,698,Hazardous
3129,27.2,79.2,56.0,59.4,20.1,5.0,1.94,5.7,541,Moderate
3749,22.6,59.5,2.1,9.3,12.4,7.5,0.95,12.5,451,Good
837,28.1,39.9,2.8,7.6,18.2,4.8,1.08,10.8,470,Good
4267,24.7,78.9,55.7,66.2,28.5,6.3,1.33,7.2,454,Moderate
1770,28.1,74.6,0.3,4.9,15.0,1.7,1.04,10.3,256,Good
4498,31.4,78.3,8.2,14.1,23.5,5.6,0.87,11.2,225,Good
4694,18.5,71.0,13.2,20.4,19.4,5.2,0.89,12.0,550,Good
2552,27.3,77.9,20.9,33.3,32.8,9.9,1.3,7.5,580,Moderate
1925,32.0,60.1,34.2,50.5,34.5,8.0,1.49,7.8,605,Moderate
1665,30.9,49.5,0.3,5.5,20.1,3.5,0.93,11.0,237,Good
3975,24.1,49.2,11.7,17.1,22.3,6.4,0.98,13.6,334,Good
1120,29.3,77.1,14.5,19.8,14.0,2.9,1.07,11.6,361,Good
854,26.9,59.1,21.4,33.0,22.2,9.2,1.14,5.5,398,Moderate
26,30.0,69.2,2.0,3.9,15.3,5.2,1.09,10.1,297,Good
2262,20.2,59.0,11.5,16.7,19.3,7.2,0.99,10.4,393,Good
1775,36.5,86.5,19.9,32.8,33.3,12.4,2.14,4.0,623,Poor
163,32.4,64.3,58.1,74.1,14.2,9.7,1.41,5.5,489,Moderate
213,37.8,79.1,63.0,85.1,52.6,20.1,2.6,6.5,778,Hazardous
3461,38.6,54.8,38.0,48.2,22.1,16.5,1.63,6.0,437,Moderate
2621,27.3,73.7,13.8,28.4,27.5,16.4,1.4,7.3,293,Moderate
3295,24.6,65.7,0.7,3.7,15.4,5.5,1.08,10.4,211,Good
349,20.5,80.0,1.0,3.2,23.6,2.8,0.91,13.4,276,Good
2692,24.4,77.2,12.4,17.7,17.8,6.2,0.94,14.7,330,Good
3720,30.7,57.3,2.0,4.9,22.3,7.9,0.93,10.2,462,Good
4504,27.0,45.3,1.8,14.1,34.1,11.4,1.64,6.5,615,Moderate
2388,33.9,72.8,22.7,30.8,26.1,15.3,1.98,5.6,598,Moderate
1418,42.9,104.0,52.5,80.9,22.9,13.0,2.42,4.4,680,Poor
4927,33.9,80.4,2.9,13.9,22.3,12.7,1.49,6.2,481,Moderate
3488,26.8,55.4,4.9,7.3,22.8,5.3,1.1,16.7,313,Good
3825,40.4,99.5,1.0,7.8,35.6,20.2,1.97,4.1,458,Poor
3907,34.9,84.1,1.5,20.1,22.5,2.5,2.15,3.6,646,Poor
3115,30.3,94.9,15.4,28.7,32.9,10.2,1.48,7.0,620,Moderate
1021,28.4,54.4,5.5,17.5,29.1,12.2,1.5,7.3,663,Moderate
454,31.1,75.3,1.5,4.9,21.1,2.0,1.14,10.5,337,Good
1436,26.4,51.1,0.7,3.6,27.8,9.6,1.09,10.9,281,Good
2037,28.4,79.6,21.5,37.8,21.6,11.1,1.68,5.6,655,Moderate
1724,35.1,64.8,106.3,125.3,28.2,15.6,2.24,7.2,762,Poor
1477,31.5,55.4,50.2,68.7,31.5,6.0,2.13,4.4,529,Poor
646,25.8,70.1,7.1,10.7,26.5,4.1,0.94,11.2,344,Good
4351,31.0,108.9,2.3,24.7,31.2,11.0,1.72,3.0,704,Hazardous
164,35.0,80.5,43.6,55.1,27.9,11.3,1.65,6.9,664,Moderate
3883,45.5,84.9,7.2,17.4,39.1,17.0,2.09,3.4,861,Hazardous
2719,33.0,73.5,14.2,21.9,33.5,3.3,1.55,6.0,582,Moderate
4057,34.0,73.8,7.0,27.4,20.7,26.9,2.03,3.4,749,Poor
4792,24.3,79.5,9.8,12.6,26.5,5.7,1.01,12.5,280,Good
806,45.4,104.7,134.5,155.1,46.3,23.4,3.36,8.5,736,Hazardous
2395,31.7,59.3,6.9,16.7,29.4,7.0,1.37,11.9,323,Moderate
1968,20.9,41.1,1.7,8.4,24.8,4.9,1.08,11.2,590,Good
3592,24.0,75.7,1.6,5.8,24.7,2.3,1.08,11.0,355,Good
1545,20.9,62.3,7.4,11.1,20.6,3.0,0.96,13.1,295,Good
2530,37.0,61.2,44.2,56.1,21.1,5.7,1.76,9.8,465,Poor
1728,25.0,80.5,3.1,7.8,15.7,3.0,1.05,11.3,489,Good
2314,32.2,95.9,3.0,12.3,32.2,5.5,1.38,6.6,485,Poor
3232,40.2,84.8,61.2,77.0,35.2,3.9,1.82,2.8,905,Hazardous
1952,38.5,57.4,75.0,83.0,34.9,1.6,2.35,3.7,505,Poor
4390,25.9,62.5,2.3,15.8,22.5,9.2,1.31,6.8,430,Moderate
3791,25.8,65.6,22.8,24.5,28.9,8.3,1.02,11.6,401,Good
3761,33.2,88.1,7.0,16.1,29.8,11.1,1.45,5.1,332,Moderate
1442,35.7,82.0,40.5,57.9,25.3,13.6,2.14,7.7,614,Poor
1931,30.4,58.9,0.2,4.5,19.6,5.5,1.06,10.7,355,Good
2761,47.1,109.1,7.8,21.9,36.6,27.1,2.72,4.0,563,Hazardous
1051,29.6,73.6,2.3,8.1,26.0,0.2,1.12,11.9,490,Good
1263,32.2,60.7,48.9,65.1,41.1,14.4,2.79,2.9,875,Hazardous
4324,22.9,72.1,12.5,18.3,32.9,7.7,1.74,5.7,706,Moderate
3116,38.1,82.6,5.1,13.8,25.0,9.9,1.5,6.7,582,Moderate
2622,34.8,88.5,15.1,26.4,34.0,8.4,1.7,5.5,577,Moderate
399,34.4,72.7,26.3,39.6,29.3,14.9,1.51,9.0,439,Moderate
2727,25.7,57.2,7.5,14.7,14.8,2.6,1.08,14.0,319,Good
257,33.5,75.7,2.3,18.1,29.4,10.1,1.45,6.0,633,Moderate
342,28.7,63.6,4.2,10.2,20.8,3.2,0.92,11.6,487,Good
1688,24.4,54.0,2.2,5.3,27.9,5.3,1.05,10.6,431,Good
4890,25.4,42.8,5.2,11.8,23.2,7.3,0.99,11.7,504,Good
200,26.2,47.6,16.4,20.2,24.0,9.9,0.85,11.5,506,Good
1885,19.6,65.5,33.8,39.8,30.4,11.9,1.47,6.1,629,Moderate
2873,30.9,82.0,58.6,79.4,36.7,12.1,2.38,5.7,793,Poor
357,26.3,66.7,1.3,5.7,16.4,5.9,0.97,15.6,205,Good
1529,31.7,71.7,18.9,24.8,13.5,3.7,0.78,23.4,369,Good
339,35.4,65.0,22.6,46.2,37.5,23.0,2.01,3.7,509,Poor
2221,42.0,63.2,36.7,69.0,39.7,11.9,2.49,3.4,798,Hazardous
2797,29.8,73.1,4.7,12.9,23.1,12.2,1.44,5.9,682,Moderate
275,21.5,74.6,0.3,8.1,15.9,6.3,1.02,15.6,381,Good
1485,26.7,52.8,27.3,31.8,15.6,1.9,0.89,11.9,318,Good
3706,32.7,59.4,2.1,14.7,21.9,13.7,1.21,8.4,394,Moderate
307,27.7,69.1,13.6,19.1,21.6,4.6,1.07,10.5,231,Good
1387,27.1,79.9,31.7,50.9,47.6,5.2,2.0,6.8,447,Poor
1976,34.8,75.2,8.9,28.9,32.5,16.6,1.8,7.1,517,Poor
1438,32.2,84.1,4.3,13.3,20.1,12.6,1.38,6.7,401,Moderate
3776,30.4,98.0,24.9,30.7,23.5,21.2,1.55,6.7,594,Moderate
4362,30.4,46.7,21.4,25.4,17.3,7.8,0.91,11.7,365,Good
333,29.6,44.2,24.7,27.3,27.5,7.7,1.01,10.5,315,Good
1892,36.4,115.7,112.5,121.6,33.0,17.2,2.83,3.5,560,Hazardous
1732,21.3,71.3,29.9,35.2,21.9,3.1,1.0,10.8,372,Good
2163,32.3,65.9,28.5,38.8,26.4,4.1,1.63,7.5,662,Moderate
3618,35.2,96.2,4.9,15.5,33.6,9.7,2.34,3.6,515,Poor
479,22.3,74.3,6.5,10.9,20.7,7.6,0.92,13.0,210,Good
2435,26.6,62.2,0.2,5.9,16.5,2.8,0.88,11.0,444,Good
373,35.7,49.1,18.1,26.5,29.1,13.4,2.24,3.9,649,Poor
779,24.4,79.0,7.5,10.3,28.1,4.6,1.49,5.7,473,Moderate
1148,27.4,69.9,5.9,9.5,25.2,5.7,0.89,11.9,589,Good
1076,24.9,66.8,7.0,11.8,24.5,8.9,0.93,10.2,388,Good
3504,23.3,65.7,16.9,28.6,22.4,12.0,1.35,9.1,297,Moderate
1188,22.1,73.9,4.6,14.5,32.4,22.2,2.1,6.8,492,Poor
1385,40.5,70.4,35.8,44.7,22.2,9.7,1.33,5.5,398,Moderate
826,50.4,85.1,8.9,33.5,36.5,19.2,2.4,4.4,778,Hazardous
4150,26.1,63.3,11.1,13.7,23.7,4.5,0.89,14.7,450,Good
171,30.2,87.8,3.4,15.9,36.0,14.2,1.47,7.3,399,Moderate
3966,27.1,93.4,37.3,64.1,29.7,14.8,3.28,2.5,701,Hazardous
2389,33.2,62.2,6.3,15.7,19.0,1.1,1.14,11.3,546,Good
4400,25.7,54.3,39.2,47.7,22.9,5.0,1.05,12.6,430,Good
1899,25.0,45.1,12.9,17.6,18.6,6.0,0.95,11.4,605,Good
2686,28.6,45.2,6.2,11.4,24.0,3.6,0.93,12.5,212,Good
925,26.9,81.9,28.0,40.2,23.5,8.7,1.41,5.9,379,Moderate
1669,30.0,61.7,0.1,15.6,19.2,8.0,1.83,5.3,529,Moderate
394,25.6,66.5,8.5,14.5,12.9,3.7,0.94,13.2,354,Good
3219,19.8,61.8,20.4,28.4,25.2,5.4,1.07,11.8,504,Good
3593,22.2,49.8,0.6,6.9,15.9,5.4,0.96,11.7,502,Good
3273,34.9,59.2,31.4,41.2,25.3,16.4,1.55,7.2,570,Moderate
1531,55.9,87.8,33.9,52.7,28.6,17.5,2.51,2.9,834,Hazardous
4712,40.9,62.4,19.0,36.7,36.1,20.9,2.3,8.1,518,Poor
4878,28.6,65.9,0.9,4.4,13.1,5.9,1.03,11.7,446,Good
4439,33.6,63.7,4.7,13.0,24.8,2.7,1.46,6.5,368,Moderate
3255,28.3,80.8,3.3,7.9,19.8,2.0,0.92,10.9,253,Good
2872,30.5,76.0,30.7,48.8,25.3,3.3,1.56,7.3,721,Moderate
4516,26.8,63.3,1.7,5.3,17.3,2.0,0.92,11.3,481,Good
4974,29.4,52.6,0.3,8.0,25.2,6.5,0.98,10.9,429,Good
4054,26.5,84.8,47.4,59.2,25.7,7.4,1.49,6.4,471,Moderate
48,22.4,69.3,2.2,8.4,19.6,3.0,0.92,10.2,339,Good
2553,27.0,78.6,1.8,6.3,19.4,5.1,1.0,13.0,202,Good
955,20.4,43.9,11.8,15.9,25.7,9.0,1.06,13.8,480,Good
4499,39.2,108.0,73.5,88.5,34.0,15.8,1.96,6.2,734,Hazardous
872,35.7,91.0,49.9,50.3,19.0,15.4,1.94,4.2,539,Poor
1563,23.3,71.1,23.0,39.0,29.5,11.6,1.21,15.6,404,Moderate
672,26.4,53.4,23.2,33.9,17.2,9.9,1.29,7.5,392,Moderate
2426,23.7,66.3,9.6,17.0,16.6,8.0,1.07,11.3,516,Good
1402,30.6,47.9,14.4,18.8,16.1,2.4,1.05,12.4,386,Good
2827,33.8,72.1,3.7,18.3,29.7,6.8,1.16,5.9,625,Moderate
4664,49.1,93.0,57.2,85.2,36.9,22.3,2.77,3.6,623,Hazardous
939,29.1,54.3,5.8,15.1,28.0,8.8,1.43,10.8,421,Moderate
1769,40.4,107.6,31.2,56.4,41.8,19.9,2.14,7.4,767,Hazardous
2016,31.6,54.6,1.0,7.7,18.8,3.2,1.05,11.1,208,Good
3731,29.4,74.5,12.2,18.2,21.9,4.8,0.99,10.1,267,Good
710,20.3,56.2,21.8,28.8,18.9,2.7,0.96,10.2,335,Good
1375,27.2,52.7,7.4,13.9,22.2,5.4,0.94,11.4,577,Good
3104,26.8,82.3,25.1,35.7,15.4,9.4,1.72,11.7,332,Moderate
4858,24.1,45.4,0.6,3.0,15.1,2.6,1.14,13.0,513,Good
3760,28.6,65.2,40.2,44.4,20.5,5.2,1.13,12.3,492,Good
4802,32.2,70.0,47.7,52.4,38.0,4.6,1.64,6.7,402,Moderate
1989,24.0,86.1,44.5,52.2,29.5,15.4,1.49,5.5,689,Moderate
390,25.6,49.2,1.5,5.8,10.9,3.8,1.04,15.7,293,Good
3739,25.8,51.5,20.0,30.5,16.5,7.4,0.9,10.6,520,Good
2065,25.2,69.1,75.3,89.9,30.1,10.8,2.18,8.4,483,Poor
2561,27.1,69.3,2.0,7.7,16.0,5.0,1.07,11.1,501,Good
1916,35.2,68.3,4.7,16.8,21.6,13.0,1.3,9.6,478,Moderate
3665,37.6,80.6,8.5,17.8,25.0,15.2,1.65,4.1,768,Poor
419,25.7,42.0,10.0,17.4,22.7,7.2,1.16,10.4,384,Good
1000,31.4,63.1,4.3,15.6,21.9,16.4,1.45,5.9,625,Moderate
602,29.6,88.9,16.3,23.7,18.7,9.6,1.37,6.9,498,Moderate
4997,25.9,78.2,14.2,22.1,34.8,7.8,1.63,9.6,379,Moderate
2077,25.8,55.8,18.9,26.4,19.9,7.3,1.0,12.0,579,Good
4621,39.8,84.8,49.3,69.5,30.4,14.2,2.44,6.4,555,Hazardous
2911,43.2,72.5,13.6,41.5,37.6,24.4,2.79,2.6,870,Hazardous
4690,32.7,74.9,21.4,22.4,18.0,12.0,1.57,5.7,586,Moderate
4773,19.1,63.4,23.9,31.8,22.1,9.2,1.5,5.2,639,Moderate
1798,35.8,71.8,42.3,53.4,29.8,13.3,2.32,4.0,485,Poor
1966,45.9,69.9,67.9,68.3,48.6,23.2,2.29,2.6,871,Hazardous
496,24.4,48.1,21.9,29.7,11.1,12.7,0.97,10.6,572,Good
2754,33.9,94.5,16.6,42.2,41.7,18.5,2.4,8.1,421,Poor
4283,24.6,60.5,7.7,17.2,27.0,15.1,1.62,11.0,599,Moderate
3756,23.3,58.1,5.4,7.4,24.1,7.6,1.28,5.2,538,Moderate
2185,24.4,79.8,10.9,29.8,19.6,6.9,1.47,8.2,593,Moderate
2845,23.1,64.3,3.9,18.3,29.5,13.8,1.5,8.3,444,Moderate
3400,28.9,58.3,2.7,11.8,22.8,5.2,1.39,8.9,449,Moderate
87,18.8,77.7,11.0,15.8,20.0,5.6,1.09,11.2,409,Good
3318,24.5,59.7,2.8,8.4,19.1,4.3,0.85,10.3,432,Good
950,23.0,40.9,21.6,25.2,21.5,3.4,1.02,14.8,215,Good
4321,26.2,77.4,38.2,52.3,25.1,14.9,1.63,5.4,435,Poor
4032,30.8,92.2,50.1,67.5,25.3,23.5,2.41,7.0,573,Poor
1158,28.0,45.2,7.3,9.7,24.1,2.2,1.13,12.7,286,Good
4375,26.6,74.1,3.2,9.8,17.3,4.5,1.1,10.0,362,Good
1391,26.5,78.9,6.3,18.5,34.9,11.6,1.95,5.0,555,Moderate
4515,34.3,70.1,0.5,19.9,32.1,14.8,2.04,5.0,551,Poor
1131,22.8,60.1,11.1,14.9,14.8,3.2,1.11,10.8,525,Good
3690,34.3,59.0,24.2,34.2,25.7,16.1,2.02,7.6,545,Moderate
4969,23.8,76.4,0.2,7.2,20.3,7.5,1.03,11.3,280,Good
3334,24.7,57.2,10.1,14.7,20.9,3.9,1.1,10.3,355,Good
4823,38.2,84.1,28.5,35.4,20.9,12.9,1.55,6.0,697,Moderate
402,30.2,61.0,21.4,31.3,18.7,7.4,1.48,6.9,638,Moderate
1443,32.2,70.0,3.5,10.2,25.4,19.3,2.59,3.9,735,Poor
25,22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,324,Good
2494,27.1,66.8,11.1,15.6,16.1,5.7,0.98,11.1,346,Good
2906,27.4,67.2,86.2,86.5,18.8,9.9,1.29,5.1,354,Moderate
2407,29.1,68.1,0.7,5.2,23.4,3.9,0.84,12.6,353,Good
647,29.3,67.6,11.4,16.8,26.7,9.1,0.83,10.9,488,Good
718,25.0,68.6,9.8,13.2,23.1,4.2,0.98,11.1,578,Good
3052,25.1,48.7,8.6,17.9,17.5,4.2,0.98,19.7,403,Good
4199,28.3,54.8,2.5,15.5,29.3,11.7,1.51,6.1,376,Moderate
517,32.1,80.3,13.7,28.6,37.0,14.9,1.76,4.7,807,Poor
4179,23.3,77.5,10.3,17.6,20.0,6.1,1.21,10.7,530,Good
555,25.1,61.9,10.8,17.0,13.3,1.1,0.87,10.7,401,Good
920,24.2,43.1,13.7,20.4,15.7,7.6,1.04,11.3,365,Good
1099,31.8,86.3,2.6,14.8,38.6,17.7,2.07,3.7,551,Poor
695,24.5,51.9,14.5,21.4,13.4,3.7,1.08,11.3,379,Good
4277,23.7,60.1,12.3,21.5,16.9,4.0,0.99,14.0,253,Good
1697,26.2,51.9,9.4,13.7,22.5,4.9,1.01,10.1,449,Good
977,25.0,87.3,49.8,70.3,35.2,15.4,2.85,4.7,680,Hazardous
1986,30.9,81.4,14.5,24.8,27.9,15.9,1.59,7.1,392,Moderate
4288,29.4,52.2,13.3,18.6,21.1,3.5,1.02,10.3,413,Good
3954,25.8,51.5,9.2,12.9,17.5,0.2,1.26,11.8,452,Good
1803,24.6,54.3,23.1,28.1,29.8,14.9,1.32,6.9,638,Moderate
4744,28.5,74.7,9.4,16.7,17.5,9.1,1.06,11.2,304,Good
690,33.6,67.3,25.8,34.1,29.3,16.5,1.55,3.8,425,Poor
2808,25.4,62.6,4.2,7.4,18.3,4.5,1.03,10.5,518,Good
404,40.3,89.3,193.1,212.6,39.0,18.2,2.32,10.2,758,Hazardous
2940,24.0,68.7,18.6,31.1,30.6,7.3,1.44,6.0,588,Moderate
