,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
4350,35.7,53.1,43.4,52.7,26.4,6.1,1.51,6.9,659,Moderate
2983,28.7,53.9,18.3,20.4,25.7,7.5,0.98,11.2,406,Good
1619,25.5,60.7,9.2,17.3,22.8,6.3,1.05,10.2,421,Good
4167,49.4,100.9,173.9,186.8,34.0,19.1,3.21,2.6,820,Hazardous
3053,44.3,81.8,58.8,67.8,39.8,11.3,2.51,9.0,795,Poor
2293,29.9,48.7,16.4,18.6,16.7,5.8,1.1,13.6,471,Good
1369,23.1,60.1,1.5,8.0,19.3,6.3,1.08,13.3,340,Good
2411,29.5,53.9,37.4,50.4,24.1,5.2,1.47,5.1,679,Moderate
4627,29.8,44.0,30.2,31.6,23.9,2.6,0.99,18.6,322,Good
1882,34.7,85.0,4.1,14.2,29.5,13.2,1.41,5.1,608,Moderate
1701,32.2,62.2,20.2,34.3,33.7,26.4,2.12,8.3,512,Hazardous
2668,24.9,46.1,3.2,10.4,16.9,4.1,0.94,11.9,242,Good
3249,27.8,70.8,3.0,20.7,30.8,17.7,2.02,3.5,502,Poor
1327,36.0,75.2,4.7,10.5,33.5,0.4,1.72,6.5,336,Moderate
3020,31.9,73.3,11.1,21.8,15.1,7.2,1.54,7.4,543,Moderate
4788,25.4,56.8,5.7,8.2,15.6,4.2,1.01,12.0,375,Good
674,31.5,48.2,6.7,11.7,15.6,3.7,1.29,11.6,269,Good
1750,20.0,55.0,9.7,17.2,14.7,7.1,1.0,12.8,283,Good
960,45.0,115.0,18.8,45.3,45.3,17.9,2.73,3.3,615,Hazardous
1034,26.5,42.4,4.7,14.1,18.0,1.7,0.94,12.0,457,Good
1094,33.6,57.0,3.4,8.2,17.6,3.5,1.12,13.1,297,Good
3769,47.4,64.8,68.5,80.6,38.5,13.5,2.54,4.0,633,Poor
2799,36.2,80.6,13.9,22.0,28.7,13.3,1.56,7.5,483,Moderate
1248,41.3,90.6,70.6,88.5,45.0,30.2,2.93,6.8,902,Hazardous
4578,25.1,68.4,5.4,11.9,15.0,1.2,1.03,13.7,203,Good
723,34.6,69.0,49.0,62.9,26.9,12.1,2.2,6.0,721,Poor
4250,30.9,57.2,2.0,12.9,29.2,15.2,1.37,6.2,632,Moderate
2893,34.3,89.5,9.4,15.6,28.4,9.4,1.48,6.0,505,Moderate
1522,25.8,68.3,12.6,19.0,13.0,6.6,1.09,11.2,310,Good
2260,33.2,66.6,0.0,8.7,33.6,2.4,1.79,5.6,535,Moderate
2728,24.1,68.0,2.6,4.7,25.2,8.5,1.18,11.3,580,Good
3879,26.0,79.9,22.6,28.3,22.7,5.9,1.37,12.0,323,Moderate
1196,29.7,88.0,3.9,13.9,36.8,10.3,1.7,6.9,457,Moderate
4061,36.4,99.6,56.6,65.3,30.6,21.2,2.9,4.4,699,Hazardous
4120,31.5,89.3,5.7,16.1,19.6,2.9,1.59,7.5,424,Moderate
4090,36.1,69.1,6.8,16.2,18.7,5.9,1.15,5.0,630,Moderate
1118,24.2,41.4,22.6,31.1,24.7,3.7,1.05,11.2,257,Good
2204,22.7,76.8,12.9,15.2,21.9,4.9,0.99,18.6,410,Good
3652,33.8,68.4,7.2,15.0,18.5,2.6,1.06,11.5,468,Good
4948,24.2,63.9,6.6,9.1,24.1,2.7,0.93,12.8,369,Good
250,34.7,88.9,8.9,16.1,33.3,8.5,1.19,6.0,447,Moderate
4984,28.0,70.3,2.9,8.3,24.7,8.0,0.82,10.5,308,Good
3315,22.9,51.9,5.5,9.6,24.2,6.9,1.15,10.3,345,Good
814,28.4,48.3,13.5,15.7,18.2,4.1,1.2,10.2,503,Good
1206,20.3,77.6,12.1,19.5,18.0,6.1,0.89,14.2,308,Good
2074,48.6,88.7,37.5,64.1,34.3,5.6,1.75,6.2,592,Poor
85,28.2,49.6,17.0,21.7,19.7,11.3,0.99,11.1,214,Good
846,25.8,77.7,21.7,29.9,13.6,6.3,0.85,12.4,549,Good
4629,23.5,73.7,2.1,6.0,22.2,3.0,0.86,10.7,200,Good
2060,26.8,91.8,5.1,10.5,28.3,7.2,1.31,9.6,376,Moderate
1162,27.4,77.3,0.7,12.2,25.3,5.3,1.57,10.8,477,Moderate
3841,31.8,49.9,7.5,17.9,36.1,7.0,1.48,9.5,687,Moderate
4186,21.0,67.4,1.7,7.0,19.1,6.6,1.07,13.4,603,Good
376,27.8,74.4,13.2,22.2,22.8,6.5,1.69,5.4,422,Moderate
2179,27.5,56.7,7.0,15.8,18.5,0.8,1.09,18.1,406,Good
204,38.3,99.0,8.2,27.2,24.9,13.9,2.69,3.8,808,Poor
3911,26.1,81.9,9.5,19.1,36.1,14.8,1.62,5.9,455,Moderate
813,30.8,85.8,27.0,29.1,18.5,11.0,1.54,8.7,466,Moderate
1474,26.0,45.3,5.3,12.4,27.4,7.2,0.78,18.9,546,Good
2127,20.7,59.2,8.8,14.1,23.1,1.9,0.99,10.7,346,Good
4885,27.1,70.2,2.0,6.2,23.0,3.5,1.0,10.1,271,Good
824,41.7,64.8,2.3,11.2,22.4,7.6,1.22,6.6,452,Moderate
1780,16.6,38.7,4.1,8.5,19.8,5.4,0.95,15.6,264,Good
4164,37.3,91.6,28.9,30.2,34.7,8.9,2.11,3.9,754,Poor
4959,32.9,74.8,4.9,9.6,22.3,9.9,1.71,6.0,339,Moderate
4077,47.0,95.3,3.0,23.4,36.3,24.4,2.4,3.4,582,Hazardous
4564,39.2,68.0,4.0,18.4,30.2,16.8,1.77,3.8,763,Poor
608,32.8,71.6,23.3,30.3,23.4,16.8,1.75,7.4,632,Moderate
4345,26.7,74.2,38.5,62.5,40.2,12.4,2.01,4.2,802,Poor
3811,45.6,82.4,13.1,27.8,24.8,13.8,1.37,5.5,408,Poor
1482,28.2,73.5,3.8,14.8,24.8,11.1,1.11,7.0,577,Moderate
2171,27.8,61.2,16.3,24.1,10.6,6.8,1.19,11.1,365,Good
3806,42.2,91.6,0.4,11.5,35.9,12.5,2.15,5.9,683,Poor
96,33.5,70.8,8.1,16.3,22.0,15.9,1.63,5.1,527,Moderate
136,33.4,85.5,11.7,31.7,41.7,12.4,2.03,3.0,927,Hazardous
3727,28.6,88.5,0.4,11.6,20.1,16.8,1.93,8.8,657,Moderate
2310,36.0,51.6,59.9,82.8,30.5,18.0,1.98,5.3,784,Poor
3179,27.4,67.3,41.8,52.9,22.4,12.4,1.65,9.6,446,Moderate
4249,32.5,81.1,80.1,100.2,28.8,0.5,1.92,10.1,612,Poor
2025,28.3,59.1,1.5,6.1,23.4,7.0,1.1,10.9,511,Good
3937,23.9,39.6,1.3,5.7,23.2,6.4,0.93,11.2,569,Good
2429,31.5,50.3,4.3,14.8,20.3,12.9,1.61,9.0,677,Moderate
3740,21.1,49.5,4.3,9.4,15.2,0.6,1.1,14.4,314,Good
4092,28.7,78.9,26.8,38.0,36.2,6.2,1.69,5.4,484,Moderate
4059,28.9,70.9,33.0,38.7,13.7,4.1,0.89,11.0,486,Good
3408,21.8,56.2,8.4,12.5,15.8,4.0,1.05,10.1,373,Good
3445,35.6,71.9,10.3,27.3,22.6,10.4,1.66,4.4,555,Poor
1918,30.4,93.5,8.5,29.2,36.6,16.3,1.64,6.0,766,Poor
520,28.2,39.4,6.3,11.6,26.2,7.1,0.92,15.2,289,Good
1752,29.4,92.3,10.7,18.0,21.7,16.7,1.88,6.2,628,Moderate
1581,26.9,74.7,2.7,10.7,25.6,4.3,0.99,10.2,271,Good
3068,30.1,78.3,38.7,45.7,35.3,9.2,1.46,5.8,562,Moderate
3328,43.7,66.8,33.4,36.4,34.5,8.0,1.79,4.7,608,Poor
1589,24.7,55.9,18.5,23.2,18.6,2.7,0.94,10.5,365,Good
3768,38.8,97.9,0.1,12.2,43.2,7.9,1.27,4.0,567,Poor
388,28.2,50.1,8.9,16.9,17.6,0.8,1.05,10.4,291,Good
860,34.4,103.1,29.2,42.2,54.4,23.6,3.37,3.7,614,Hazardous
1361,27.4,73.5,17.1,22.1,15.7,8.3,0.92,12.0,572,Good
4577,31.6,95.2,157.5,180.0,38.8,28.7,2.0,3.6,571,Poor
1834,44.3,61.7,55.0,66.4,32.7,13.1,1.82,4.1,614,Poor
1846,25.6,60.3,21.4,34.0,30.4,3.7,1.37,7.8,315,Moderate
1287,26.8,75.7,16.6,23.9,21.0,1.6,1.01,11.4,390,Good
1305,35.5,86.0,75.7,86.8,19.8,12.1,1.79,8.6,612,Moderate
2580,22.7,64.4,14.2,22.5,21.5,8.1,1.06,12.2,389,Good
1273,29.9,51.4,2.8,14.2,23.7,10.0,1.43,9.0,321,Moderate
1066,24.4,63.7,31.1,34.2,16.4,-0.2,0.99,10.7,501,Good
345,34.4,85.0,31.7,53.6,50.5,35.4,2.5,3.8,822,Hazardous
3822,25.7,64.5,19.7,28.4,31.1,7.8,1.3,7.0,521,Moderate
33,29.7,85.8,84.4,94.4,26.7,19.8,1.55,10.0,744,Poor
4391,25.3,40.1,0.6,4.5,23.8,6.5,1.09,12.3,444,Good
2265,36.5,89.2,40.9,61.0,25.0,1.8,1.85,3.5,687,Poor
3861,27.9,60.9,1.9,6.7,14.5,5.6,1.0,11.0,383,Good
309,21.9,77.4,21.1,27.8,21.1,4.5,1.03,10.0,384,Good
301,24.3,72.9,1.9,10.4,22.7,2.1,0.89,10.8,300,Good
4354,34.2,92.3,1.7,26.2,37.3,12.5,1.85,3.6,501,Poor
1561,25.1,43.3,23.0,28.6,24.2,3.9,1.01,16.0,392,Good
3353,25.6,61.4,8.9,8.8,18.1,5.4,1.07,12.1,593,Good
871,27.4,83.7,11.4,18.5,18.3,8.4,1.74,7.1,425,Moderate
1427,29.1,41.5,0.9,4.8,18.7,3.4,1.02,12.6,337,Good
1208,28.5,71.0,6.7,13.1,21.8,4.0,0.97,13.1,510,Good
2901,32.8,96.0,26.5,42.4,29.4,15.2,3.07,8.6,646,Hazardous
2793,40.0,71.3,0.5,4.4,14.5,16.1,1.41,5.1,318,Moderate
535,35.7,80.2,35.0,45.9,32.0,9.3,1.59,5.5,531,Moderate
1948,27.8,96.1,4.5,31.9,39.5,0.7,1.99,4.5,614,Poor
3518,34.7,82.4,8.3,35.2,42.3,19.6,1.09,3.8,761,Poor
4841,25.0,39.8,2.0,8.4,21.7,4.0,0.96,10.7,290,Good
2821,24.8,67.2,20.9,23.5,22.0,5.8,0.92,12.5,255,Good
4069,27.8,42.0,20.7,24.5,18.2,2.9,0.89,13.2,253,Good
1161,30.0,67.1,2.2,7.8,39.2,17.0,2.0,5.2,793,Poor
3254,20.2,58.7,49.8,55.5,25.3,6.3,0.94,15.1,589,Good
3390,31.4,69.4,11.1,28.2,27.4,17.7,2.02,5.8,400,Poor
4719,29.6,46.4,14.2,16.9,11.8,6.5,1.0,11.8,382,Good
1878,30.7,65.8,5.5,14.2,25.8,11.0,1.32,5.6,380,Moderate
1190,48.8,92.0,2.4,24.9,38.2,16.9,2.84,3.7,664,Hazardous
4109,23.8,79.7,12.7,27.5,30.4,9.9,1.85,3.6,568,Poor
1716,23.5,70.8,4.6,13.3,35.7,4.8,1.45,12.5,345,Moderate
4970,28.9,61.7,2.7,7.1,35.3,7.8,1.45,6.0,439,Moderate
219,33.7,96.3,70.8,87.3,32.9,17.0,2.33,4.8,557,Hazardous
4405,23.8,40.2,8.8,12.3,27.9,6.9,1.0,11.1,317,Good
308,24.6,64.6,17.1,20.3,20.5,6.7,0.9,10.5,355,Good
1472,26.6,66.0,2.2,3.7,27.7,11.7,1.63,6.6,395,Moderate
3568,30.4,71.0,74.2,89.0,31.9,15.3,1.74,6.7,314,Moderate
4853,32.0,58.4,24.0,30.9,28.9,7.4,0.92,12.3,684,Moderate
2829,24.9,74.3,12.8,15.1,19.2,7.2,0.96,10.3,496,Good
229,30.9,92.2,10.7,19.0,38.1,9.6,2.55,4.8,429,Poor
4838,27.0,74.2,3.4,15.0,33.6,6.3,1.39,10.6,515,Moderate
44,27.8,62.8,8.7,13.2,29.7,15.8,1.4,8.1,604,Moderate
1371,28.7,77.3,23.1,24.7,12.1,7.6,1.02,10.7,577,Good
4696,21.4,55.3,3.3,5.0,13.3,0.9,1.28,10.1,609,Good
2089,32.5,74.8,53.5,65.2,22.0,11.4,1.54,5.4,399,Moderate
2233,23.7,67.7,23.3,31.0,21.2,5.1,1.04,10.3,514,Good
1940,27.8,64.2,12.5,17.2,18.8,5.2,1.0,14.1,323,Good
3468,36.5,88.6,37.0,49.3,26.4,8.3,2.43,3.5,644,Hazardous
3047,37.7,63.6,24.2,32.1,24.3,13.2,1.59,5.6,600,Moderate
3194,40.9,106.7,156.8,172.3,30.5,24.7,1.7,5.0,862,Hazardous
689,26.6,67.8,11.2,12.1,28.3,4.1,1.01,11.9,551,Good
2412,31.8,68.3,29.4,39.1,23.0,5.8,1.76,6.2,463,Moderate
3847,26.2,60.3,13.4,17.3,26.7,7.0,1.23,10.9,308,Good
2276,34.7,81.2,9.6,29.2,29.5,14.5,2.26,2.5,803,Hazardous
3003,18.6,49.8,14.0,18.6,23.3,4.4,0.77,10.0,262,Good
2256,27.2,51.0,4.2,8.7,11.4,6.1,1.01,10.2,469,Good
679,36.2,62.4,34.7,53.1,22.8,7.8,1.27,6.7,407,Moderate
1919,36.9,98.2,23.7,42.8,32.2,19.1,2.15,6.5,493,Poor
369,26.3,47.2,3.0,5.5,24.7,0.7,1.08,10.7,368,Good
3580,26.5,58.1,10.7,15.0,24.3,2.5,0.98,13.0,220,Good
38,22.2,50.0,2.3,8.4,23.5,3.7,0.96,10.2,547,Good
2598,34.5,80.8,10.6,18.6,32.1,18.4,2.37,6.4,763,Poor
182,32.1,73.6,39.4,54.8,39.5,6.8,2.0,4.2,493,Poor
4006,23.5,67.0,1.8,6.8,19.6,4.0,1.07,10.8,320,Good
2575,35.2,72.0,3.6,11.4,29.4,10.2,1.39,6.5,737,Moderate
4634,28.7,59.4,4.0,8.5,18.9,5.6,0.84,10.1,364,Good
1712,25.9,41.0,1.8,0.1,20.4,3.5,1.13,15.2,293,Good
3078,32.3,76.8,19.1,38.4,23.9,12.6,1.69,6.2,674,Moderate
3967,25.7,82.4,44.6,54.5,21.2,5.8,1.44,5.2,580,Moderate
588,36.6,97.4,13.3,31.4,28.7,28.5,2.04,3.4,678,Poor
3874,39.3,57.3,39.6,59.1,22.0,17.7,1.64,4.7,573,Poor
236,31.6,97.6,85.9,101.9,45.0,25.8,1.82,7.4,804,Poor
3360,19.8,76.1,15.9,20.4,25.3,4.2,1.01,10.3,357,Good
3123,27.2,71.6,10.7,24.4,31.4,15.4,2.09,4.0,434,Poor
3392,44.9,100.1,4.9,29.7,42.0,9.1,3.11,4.5,600,Hazardous
4896,42.1,87.6,2.5,22.2,37.6,27.2,2.3,2.8,451,Hazardous
1605,22.6,72.0,40.4,46.2,14.6,4.5,1.04,14.8,270,Good
178,34.4,86.3,28.4,50.6,34.5,42.3,2.28,3.2,685,Hazardous
4549,32.2,70.9,37.9,56.7,37.8,16.2,1.54,4.8,388,Poor
1631,29.0,88.6,13.2,33.7,36.1,13.1,2.32,4.4,706,Poor
4278,28.9,72.0,48.2,58.4,29.3,9.2,1.56,9.5,422,Moderate
760,26.6,68.5,10.4,16.2,25.7,2.2,0.85,10.9,231,Good
2431,27.8,43.3,19.8,24.5,12.0,4.3,0.96,12.7,404,Good
2177,50.4,102.2,51.6,74.0,36.4,37.6,2.3,3.3,671,Hazardous
3138,25.7,69.6,3.8,7.4,25.1,4.6,0.97,10.2,310,Good
2815,39.9,83.6,11.8,39.4,46.9,27.6,1.9,6.8,438,Poor
3528,38.0,78.8,63.0,65.2,30.9,19.4,2.19,3.0,571,Hazardous
88,26.3,77.5,23.1,29.5,15.1,3.7,0.92,10.4,399,Good
1417,28.9,49.8,0.3,1.5,20.5,8.5,1.13,11.4,485,Good
221,27.6,61.5,0.0,4.5,25.1,4.3,1.07,11.0,536,Good
1949,34.2,78.8,18.1,29.6,24.6,11.3,1.73,6.8,441,Moderate
4923,35.3,75.4,8.0,27.1,37.3,9.0,1.82,21.6,696,Poor
1135,31.2,76.6,23.0,36.0,23.4,12.5,1.39,6.2,384,Moderate
2560,24.4,71.5,12.0,19.0,20.3,3.0,0.91,13.0,473,Good
2570,30.3,78.9,5.2,8.6,12.5,6.6,0.78,11.0,403,Good
1506,28.2,62.7,0.1,7.5,17.4,4.7,0.87,12.0,528,Good
1599,43.2,85.0,152.7,178.1,38.6,28.2,2.7,2.8,627,Hazardous
585,38.9,61.8,28.1,52.2,48.8,22.7,2.19,5.6,538,Poor
4424,22.2,79.3,39.8,49.8,22.4,5.6,1.49,5.5,351,Moderate
82,30.4,101.1,28.6,42.6,39.9,4.0,2.2,6.8,639,Poor
2930,24.4,75.5,16.1,20.4,25.3,5.1,0.86,11.3,357,Good
1947,29.1,41.6,22.5,25.3,19.6,5.8,0.99,11.2,263,Good
1108,29.5,62.3,3.4,12.5,17.9,6.7,1.05,10.5,439,Good
4214,18.2,42.5,0.1,7.1,26.1,3.8,0.97,11.6,312,Good
2986,18.5,61.3,5.6,8.9,21.5,7.2,0.86,10.8,226,Good
758,25.8,87.9,7.3,19.7,30.0,16.8,1.38,5.5,326,Moderate
3833,28.8,77.2,27.8,42.3,27.5,4.8,1.6,10.8,538,Moderate
1693,21.1,54.2,49.3,59.1,30.7,9.9,1.5,6.9,660,Moderate
4698,40.0,68.1,31.6,45.7,38.1,14.4,2.17,4.0,596,Poor
4188,26.7,54.1,27.6,31.9,20.8,11.6,0.97,11.1,213,Good
827,23.8,54.2,2.6,5.1,18.7,6.8,1.12,12.2,351,Good
3705,39.3,79.2,30.6,44.5,34.0,22.1,2.02,4.6,619,Poor
4963,38.4,70.3,1.4,13.2,29.4,10.6,1.74,6.3,406,Moderate
4791,23.0,50.9,19.3,20.7,21.4,6.9,1.0,12.6,454,Good
1811,36.0,70.0,2.1,14.1,37.2,21.4,2.18,5.4,495,Poor
3983,25.6,63.4,16.1,20.9,24.1,2.9,1.04,10.9,303,Good
3216,34.4,86.5,52.9,63.7,25.5,8.0,1.78,7.6,375,Moderate
3298,30.4,68.6,15.4,29.7,31.0,11.3,2.06,3.6,609,Poor
4127,27.6,67.0,1.5,18.1,28.8,10.5,1.38,5.8,406,Moderate
1166,22.7,73.0,33.6,38.6,30.8,14.2,1.72,10.7,576,Moderate
341,24.7,79.4,5.9,9.0,19.3,0.7,0.91,10.6,219,Good
3140,24.3,40.8,10.6,16.6,13.2,7.3,0.85,14.3,398,Good
1805,20.6,80.6,0.3,5.1,22.0,4.6,1.49,7.6,647,Moderate
304,24.3,69.1,60.1,76.5,21.4,9.2,1.44,5.7,512,Moderate
1156,22.3,82.6,36.7,44.8,31.4,6.5,1.56,5.4,350,Moderate
2632,26.2,70.8,6.5,12.7,19.0,2.6,1.01,12.2,263,Good
1691,27.7,62.9,17.5,24.0,22.5,18.1,1.56,6.0,495,Moderate
3868,21.9,58.3,2.7,5.6,20.6,7.3,0.9,11.1,493,Good
2731,29.2,55.5,43.3,46.8,24.0,8.7,1.53,5.8,640,Moderate
2491,39.8,88.8,39.5,50.1,18.8,6.9,1.38,6.0,418,Moderate
1666,33.9,59.2,61.7,81.9,41.5,21.6,1.72,7.1,503,Poor
4352,29.8,60.9,8.5,14.6,16.7,2.5,1.06,13.1,217,Good
4968,29.5,85.9,13.6,33.2,18.7,14.4,1.78,6.6,397,Moderate
3279,39.3,63.5,135.7,148.8,28.1,16.1,2.05,3.9,714,Poor
1556,29.1,58.0,8.9,13.8,14.6,5.1,0.97,11.3,582,Good
1524,36.7,44.6,2.4,5.8,28.8,18.1,1.63,8.7,502,Poor
2701,39.5,88.6,48.6,71.0,27.2,21.2,2.43,5.2,693,Poor
3021,32.2,62.2,23.6,32.0,32.8,10.1,1.54,9.0,685,Moderate
4861,26.8,44.5,5.1,8.1,23.4,4.4,1.12,11.0,401,Good
4781,27.2,59.1,3.7,5.2,15.0,5.2,1.03,11.0,285,Good
2660,28.1,78.4,26.9,33.2,21.9,5.0,0.77,11.3,249,Good
4881,34.5,62.3,12.9,27.6,27.3,7.7,1.58,6.7,474,Moderate
2375,43.7,83.8,14.1,54.0,41.9,20.5,2.47,2.9,914,Hazardous
2816,21.9,52.7,7.3,13.7,26.9,5.8,1.16,12.2,232,Good
833,29.1,52.6,14.0,18.7,17.6,7.7,1.04,10.4,456,Good
1220,38.9,83.7,26.5,48.9,44.0,14.6,1.83,3.8,645,Poor
469,36.3,71.7,3.7,10.5,27.1,6.6,1.29,5.6,488,Moderate
3681,26.9,58.8,0.8,8.1,18.4,4.5,1.01,11.2,245,Good
1644,30.8,69.0,8.1,21.3,17.8,8.0,1.37,5.6,635,Moderate
2902,23.3,57.5,90.3,114.3,27.7,26.6,2.15,5.1,494,Poor
2653,25.4,78.6,4.1,6.7,21.3,9.1,1.4,10.1,543,Moderate
3695,27.4,74.8,2.1,7.5,23.4,6.8,1.22,10.5,431,Good
1717,22.4,62.0,6.5,11.1,24.2,3.4,1.02,10.1,265,Good
