,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
4639,40.0,75.6,16.8,35.2,34.9,14.2,2.09,6.5,591,Poor
4502,30.2,77.9,28.8,37.8,31.5,6.9,1.5,9.1,356,Moderate
3284,31.4,53.2,18.5,27.9,28.9,13.0,1.42,5.7,319,Moderate
3144,27.2,68.6,1.5,11.8,29.7,21.9,1.91,7.9,410,Poor
3881,34.0,75.2,46.0,57.2,45.5,15.4,3.34,6.3,601,Hazardous
2602,20.9,74.5,1.0,8.1,10.5,1.5,0.9,10.5,278,Good
2454,47.0,95.9,4.5,19.7,40.4,8.7,2.69,3.2,739,Hazardous
1105,30.1,89.5,26.2,38.9,45.4,19.1,2.18,4.2,658,Poor
1415,28.6,83.1,19.9,29.1,35.8,12.3,1.93,7.4,674,Moderate
3435,44.9,103.0,8.1,28.8,50.1,35.0,2.54,3.9,821,Hazardous
4066,22.4,66.0,24.6,32.1,20.6,6.2,0.8,11.2,257,Good
3535,23.6,51.6,29.8,38.9,18.5,6.1,1.01,13.8,391,Good
3794,45.7,74.1,80.8,96.8,46.9,14.6,2.4,3.6,618,Hazardous
1410,27.9,48.1,1.3,14.6,32.5,0.9,1.55,7.0,449,Moderate
3447,19.3,50.7,4.2,10.2,20.8,1.5,1.05,11.4,416,Good
1804,40.6,81.7,52.6,76.5,39.3,14.8,1.74,6.0,755,Poor
4808,27.6,78.0,19.2,29.8,35.6,15.0,1.45,6.2,387,Poor
148,29.2,72.1,25.5,32.3,13.3,5.7,1.08,10.9,358,Good
2349,35.2,71.9,0.7,5.3,26.6,5.2,0.98,11.2,442,Good
4158,26.9,73.1,4.4,9.2,21.4,5.7,0.88,11.9,523,Good
389,42.1,87.0,83.5,97.7,42.5,5.3,2.18,11.6,712,Poor
4626,24.5,60.1,5.4,12.5,27.4,5.4,0.98,10.5,476,Good
153,30.7,54.3,5.7,20.8,26.5,13.4,1.87,7.2,437,Moderate
2319,29.0,79.7,92.7,112.4,33.2,6.9,1.84,14.0,785,Poor
4772,23.7,66.3,11.8,14.4,12.2,1.9,0.79,12.0,248,Good
1136,37.2,65.7,1.8,20.4,45.2,14.6,1.45,5.1,506,Poor
1451,33.8,71.4,35.9,59.1,36.1,15.0,1.74,3.6,619,Poor
2704,35.1,81.5,1.7,10.9,29.1,11.0,1.48,11.5,337,Moderate
2520,25.0,69.5,4.2,9.0,28.8,5.6,1.19,10.1,232,Good
4905,28.3,65.8,7.3,9.8,23.3,3.6,1.03,13.0,563,Good
3888,36.1,55.2,5.6,17.2,23.0,9.5,1.7,5.7,317,Moderate
1319,31.2,54.1,8.2,15.0,16.3,4.6,0.88,14.8,531,Good
1484,27.8,56.7,6.7,18.0,26.9,6.1,1.64,6.1,371,Moderate
4194,26.3,83.1,29.7,48.0,33.0,8.2,1.56,6.0,579,Moderate
3005,21.8,60.7,0.0,4.6,22.3,3.9,1.04,12.2,333,Good
2245,25.6,51.5,35.5,40.7,32.2,-1.7,1.35,7.3,378,Moderate
1290,36.2,63.6,16.1,27.3,23.4,9.6,1.73,7.6,574,Moderate
1379,20.2,40.4,3.6,13.5,20.5,5.4,1.03,11.9,475,Good
4613,28.4,75.5,13.1,26.9,20.0,14.1,1.72,5.8,402,Moderate
2564,31.5,70.3,19.9,38.8,21.8,6.3,1.95,6.3,707,Poor
254,23.4,42.5,1.9,6.4,20.6,4.3,1.19,11.3,493,Good
2427,20.0,71.0,15.6,21.0,20.0,6.0,0.89,14.4,575,Good
4825,19.7,75.3,7.8,13.9,21.2,6.4,1.25,10.9,402,Good
732,29.6,65.3,13.3,19.6,16.0,5.1,1.01,15.5,198,Good
3221,32.9,62.6,17.1,30.6,21.9,14.6,1.4,5.2,533,Moderate
1901,44.1,101.9,2.1,40.8,31.4,29.7,2.66,6.3,761,Hazardous
1097,26.7,61.9,11.8,16.3,13.0,6.3,0.85,16.7,361,Good
2130,31.1,59.2,31.2,46.1,32.8,10.5,1.48,6.5,450,Moderate
4148,31.7,106.5,14.7,21.2,33.0,18.0,1.98,4.1,661,Poor
2914,25.4,75.4,33.4,35.5,31.4,9.4,1.8,5.8,600,Moderate
2725,30.3,49.2,50.9,61.1,28.2,6.6,1.39,8.4,425,Moderate
4274,17.8,59.7,2.2,9.9,16.4,5.1,0.87,10.1,583,Good
4357,43.7,86.8,2.1,16.5,38.7,15.3,1.92,8.3,351,Poor
890,33.7,59.5,13.7,21.5,19.6,2.3,1.02,11.7,511,Good
580,24.8,78.7,17.4,21.7,24.2,3.4,0.74,12.6,580,Good
1647,19.5,48.2,1.0,7.4,18.7,6.8,0.92,10.7,305,Good
2434,20.7,73.0,5.6,14.0,12.1,5.9,0.9,13.9,425,Good
956,23.8,52.1,49.8,61.3,32.5,6.3,1.72,5.7,336,Moderate
4563,21.5,45.8,8.2,11.2,23.2,2.4,1.12,10.4,585,Good
2795,28.2,63.8,2.4,7.5,20.9,6.8,0.83,10.6,317,Good
3095,25.7,78.6,6.2,10.6,22.3,3.8,0.97,10.1,322,Good
2905,34.4,90.8,12.5,27.0,29.4,9.8,1.47,11.0,477,Moderate
73,26.7,63.2,6.8,9.3,13.4,4.9,0.98,10.0,358,Good
849,25.4,81.0,22.9,36.8,38.3,9.5,1.59,7.6,543,Moderate
3951,31.9,74.5,31.9,40.6,36.4,9.7,1.45,6.7,494,Moderate
3575,25.1,42.2,5.7,11.7,16.5,1.5,0.93,10.2,249,Good
3664,32.1,53.0,12.2,25.4,35.7,10.4,1.63,6.6,518,Moderate
2582,38.8,65.2,3.4,14.3,33.0,15.2,1.76,3.9,526,Poor
589,21.9,67.3,12.2,16.1,24.1,4.8,0.92,10.3,244,Good
2281,38.9,80.0,53.4,66.4,42.4,23.0,2.19,5.6,695,Poor
1614,38.4,66.6,15.2,36.5,39.2,14.5,1.86,4.2,497,Poor
3615,33.2,86.6,5.5,8.0,30.0,5.7,1.89,9.3,553,Poor
4763,26.7,42.5,20.0,24.9,22.1,8.4,0.95,15.0,309,Good
3545,39.2,83.5,17.6,36.2,27.7,19.4,1.74,3.5,480,Poor
1509,43.4,78.1,37.0,52.3,44.6,16.0,2.03,2.5,799,Hazardous
3765,38.2,63.5,63.5,77.9,32.4,6.8,2.3,5.0,458,Poor
4265,35.2,80.7,67.4,103.4,49.6,9.6,2.47,3.5,681,Hazardous
2428,29.3,77.9,37.0,47.7,29.1,15.4,2.14,3.5,691,Poor
2296,23.3,49.1,1.6,6.7,16.1,3.8,1.06,10.3,222,Good
3489,34.8,73.2,2.4,8.8,25.1,3.3,1.35,6.9,362,Moderate
4856,27.6,62.0,15.5,24.6,27.4,7.2,1.76,5.7,556,Moderate
926,18.5,64.8,8.8,11.5,14.1,5.1,0.89,10.1,428,Good
4850,24.7,49.4,15.5,21.2,21.7,4.8,0.94,10.6,389,Good
1180,24.0,65.5,3.6,9.1,25.2,6.7,0.97,14.1,387,Good
4017,31.0,72.1,1.5,17.4,28.5,5.9,1.7,5.1,332,Moderate
4298,25.2,60.1,1.1,2.4,14.7,6.1,1.04,12.2,384,Good
3956,27.7,79.4,10.8,16.8,14.0,7.7,0.92,10.3,348,Good
3566,31.6,85.1,4.5,19.4,29.0,11.9,1.23,6.3,429,Moderate
3364,30.8,60.9,7.2,20.0,36.1,13.7,1.37,5.1,342,Moderate
1272,21.8,73.4,12.1,12.0,26.2,6.6,1.04,25.8,224,Good
3510,30.6,56.2,2.6,8.7,22.6,3.1,0.84,12.7,513,Good
1590,21.7,76.4,20.8,25.5,20.9,2.8,0.95,10.1,506,Good
1626,19.6,59.7,10.2,18.3,23.2,0.9,1.03,10.7,238,Good
4377,23.6,62.0,11.0,14.7,16.9,5.5,1.18,10.9,196,Good
4325,24.5,74.0,11.4,13.8,19.8,4.5,0.93,13.0,381,Good
1488,22.1,41.0,14.8,20.3,12.8,4.9,1.18,15.0,217,Good
1759,28.3,87.1,37.0,48.5,22.9,10.0,1.48,5.4,550,Moderate
4141,20.7,68.5,3.1,5.5,9.2,9.8,0.87,10.3,333,Good
4945,47.5,84.9,55.8,65.9,39.4,17.8,2.57,5.2,557,Hazardous
2519,29.1,93.2,8.0,19.3,35.6,25.8,1.72,4.2,473,Poor
3547,38.8,69.4,40.0,52.2,27.8,16.9,2.32,7.5,451,Poor
2017,47.1,61.2,15.8,34.2,29.7,18.3,1.56,10.4,675,Poor
539,39.0,89.4,55.3,80.7,45.1,6.7,1.83,9.2,792,Poor
4873,26.2,46.9,2.0,6.4,18.1,4.2,1.19,11.6,299,Good
1212,44.2,79.7,4.9,23.6,34.4,18.1,1.76,4.1,724,Poor
2383,32.0,95.2,28.6,41.8,38.3,23.0,2.11,6.4,435,Poor
1151,37.2,94.4,20.8,37.1,29.5,10.8,1.66,8.3,531,Poor
4111,24.6,66.9,14.4,19.2,25.2,5.9,1.01,10.3,279,Good
4752,25.5,68.9,2.9,16.0,38.3,2.3,1.61,10.9,357,Moderate
4389,38.0,75.2,7.0,32.7,40.7,15.6,2.57,3.2,786,Hazardous
3512,26.3,74.7,8.6,14.0,14.1,4.6,0.99,13.0,318,Good
4971,26.1,82.7,19.9,37.5,36.7,12.0,1.5,4.3,706,Poor
3787,34.4,75.4,13.2,18.3,34.4,8.4,1.42,6.0,613,Moderate
2199,38.5,103.0,12.2,37.4,40.5,19.5,1.89,7.2,527,Poor
2463,43.5,91.7,43.6,71.4,30.7,18.7,2.92,4.7,873,Hazardous
2327,32.3,96.1,52.9,67.1,29.6,9.2,2.44,3.9,534,Poor
904,34.0,90.1,34.4,40.7,35.8,6.2,1.42,8.8,510,Moderate
2034,34.0,104.3,25.9,44.1,41.7,15.9,2.35,7.1,676,Hazardous
2931,29.2,45.9,1.9,10.9,29.4,5.5,1.1,6.1,647,Moderate
2696,22.9,80.0,12.1,18.3,23.8,2.5,1.09,12.8,189,Good
3245,25.3,42.3,10.7,13.0,11.9,2.3,1.0,10.2,381,Good
398,32.4,80.4,36.4,52.2,36.8,21.1,1.76,9.0,643,Poor
951,24.7,71.6,26.6,34.2,24.8,3.2,1.06,10.6,596,Good
4882,46.7,65.7,102.5,122.1,43.7,6.9,1.9,3.9,556,Poor
2856,36.6,69.9,46.0,59.1,46.1,6.6,1.84,3.6,649,Poor
2777,30.6,49.5,26.5,30.3,16.7,5.6,1.02,11.4,217,Good
2231,30.0,78.1,38.4,55.7,30.8,16.4,1.45,5.9,739,Poor
1394,27.0,67.8,24.8,28.9,12.9,3.9,1.1,14.7,559,Good
4650,32.2,87.1,48.1,64.2,29.7,15.3,1.44,5.3,666,Moderate
1783,26.7,64.4,7.6,14.9,24.0,3.7,1.07,15.0,544,Good
3331,26.2,74.2,5.5,11.7,17.3,3.6,0.83,10.2,383,Good
1044,29.3,64.2,18.7,27.4,32.1,10.8,1.52,6.6,392,Moderate
3530,28.7,52.5,5.8,11.7,13.4,5.9,1.05,15.8,454,Good
1281,22.8,52.5,10.8,16.0,15.5,9.5,1.07,11.2,489,Good
3394,28.6,86.6,8.7,20.7,18.6,6.9,1.79,8.3,483,Moderate
1368,49.8,79.2,70.1,82.7,50.3,20.6,1.91,5.2,617,Poor
1330,28.2,75.8,164.9,168.7,22.9,15.4,1.53,5.5,346,Moderate
2341,45.7,100.1,2.0,21.9,31.0,10.0,2.0,4.3,477,Poor
4019,40.1,88.5,1.3,13.3,35.7,18.2,2.2,6.6,453,Poor
4987,26.2,63.4,14.7,21.1,19.1,3.7,1.15,14.2,305,Good
297,30.0,66.1,17.3,25.3,30.5,6.0,1.55,8.0,482,Moderate
3945,28.4,66.1,35.2,50.0,24.8,7.8,1.2,6.5,311,Moderate
3450,25.3,86.3,6.2,15.8,33.6,9.9,1.66,5.8,426,Moderate
1055,30.7,102.0,7.9,26.1,41.6,26.1,2.31,4.8,765,Hazardous
497,32.6,58.9,30.8,38.8,30.9,17.5,1.85,4.9,448,Poor
3205,39.0,77.2,37.9,52.4,47.7,18.9,1.7,5.2,617,Poor
3494,26.4,45.7,8.4,11.3,23.4,4.8,0.97,13.8,426,Good
3102,26.2,44.5,12.4,17.9,13.3,0.5,0.76,14.8,296,Good
687,25.3,64.5,30.9,47.8,27.8,11.3,1.63,5.3,389,Moderate
4967,46.8,77.8,25.2,45.5,38.9,19.4,2.66,4.4,830,Hazardous
4192,22.6,75.1,0.1,5.2,11.7,7.7,0.94,11.4,264,Good
47,25.6,78.1,1.1,5.2,21.3,6.1,0.89,10.9,524,Good
3380,36.1,70.2,19.1,37.6,27.8,20.7,2.21,3.9,454,Poor
4126,19.5,49.8,21.5,25.5,23.9,6.5,1.07,12.0,503,Good
1863,44.6,78.5,37.5,42.2,39.1,30.8,2.95,5.0,743,Hazardous
1377,22.9,52.6,7.6,15.3,26.3,4.4,0.99,11.1,517,Good
2565,35.5,91.0,13.1,17.2,20.7,15.1,1.99,5.4,597,Poor
1879,31.7,78.8,22.2,33.1,31.5,10.8,1.6,6.2,494,Moderate
1229,49.6,79.9,13.4,26.4,37.8,28.8,2.71,3.3,639,Hazardous
4394,25.4,53.2,9.6,12.3,20.4,1.5,1.14,10.3,493,Good
293,26.3,54.7,2.0,8.2,27.9,3.4,1.05,17.0,330,Good
2738,21.5,52.5,4.3,13.9,30.0,12.6,1.42,5.0,333,Moderate
3404,26.4,76.1,36.5,40.9,31.7,15.2,2.09,6.8,472,Poor
4711,33.8,67.8,5.3,6.6,21.4,9.9,1.24,7.5,376,Moderate
3697,23.5,76.1,43.1,54.8,49.2,26.1,1.56,2.7,782,Hazardous
2687,34.7,63.4,79.7,92.0,29.9,4.0,1.36,6.1,566,Moderate
480,27.0,45.8,1.7,6.0,13.0,6.9,0.92,10.9,233,Good
750,23.3,55.0,2.0,12.5,19.2,5.7,1.12,10.6,339,Good
3384,30.2,49.8,0.7,8.0,30.5,7.2,1.56,5.9,706,Moderate
3783,35.8,71.5,19.0,34.1,28.6,13.5,1.54,7.8,592,Moderate
959,34.6,65.2,47.0,59.9,24.4,15.6,2.15,7.0,771,Poor
581,25.9,63.5,15.9,23.5,29.6,11.2,1.44,6.0,394,Moderate
4693,29.8,68.3,0.1,10.9,19.9,6.1,1.57,5.4,345,Moderate
3064,32.2,42.8,24.8,37.3,26.9,16.8,1.16,5.8,453,Moderate
2045,29.1,93.5,9.8,30.2,29.3,13.4,1.54,5.4,402,Poor
2135,36.4,77.4,39.3,62.4,25.9,10.8,2.37,4.8,774,Poor
3091,26.4,74.6,73.9,86.5,24.4,7.0,1.65,5.1,603,Moderate
1618,17.4,43.7,10.8,17.5,25.0,1.5,0.83,10.2,515,Good
4464,25.2,71.0,10.8,14.9,14.6,5.8,1.05,12.6,479,Good
4434,18.5,60.0,20.8,22.7,24.0,6.7,0.89,11.8,541,Good
429,32.9,63.2,13.1,24.0,23.1,4.1,1.32,11.1,522,Moderate
328,24.1,65.6,0.2,7.1,24.7,6.1,1.1,13.2,370,Good
4949,28.6,61.5,19.1,29.3,30.7,6.8,1.61,6.2,376,Moderate
2610,30.4,103.6,17.5,40.4,24.1,-6.2,2.21,7.3,521,Poor
3686,40.1,70.3,9.9,29.4,38.0,15.9,1.68,4.0,581,Poor
4807,41.4,99.5,0.7,40.0,44.6,16.6,2.51,8.8,608,Hazardous
2729,26.1,71.3,13.6,17.4,18.2,8.2,0.92,10.4,319,Good
3026,28.1,50.3,3.8,14.1,21.0,12.7,1.52,6.3,496,Moderate
3978,27.2,78.3,43.1,43.8,15.1,2.4,0.97,12.3,397,Good
2889,20.4,69.8,37.4,42.3,17.5,3.2,0.86,16.5,494,Good
1280,29.9,84.5,11.5,24.0,22.2,7.7,1.69,5.1,424,Moderate
1455,26.8,42.1,5.4,11.7,20.1,4.5,0.85,13.1,276,Good
4492,27.6,89.1,23.7,36.4,35.4,17.2,1.79,4.2,817,Poor
4556,25.8,64.7,3.3,8.4,26.6,4.3,0.98,10.2,226,Good
668,23.2,51.7,49.0,56.7,17.7,21.3,1.59,7.4,621,Moderate
2250,36.2,83.2,64.0,75.6,28.3,12.1,2.28,8.0,732,Poor
1133,32.5,55.8,1.0,13.5,34.3,9.7,1.84,6.0,325,Moderate
3181,56.0,53.6,6.0,21.7,40.5,9.1,2.46,9.0,718,Poor
3229,57.7,77.3,22.8,42.8,33.2,20.4,3.03,3.9,810,Hazardous
2844,27.5,66.2,1.8,7.0,27.2,7.3,1.06,11.3,326,Good
3586,24.0,86.0,35.5,50.3,29.5,7.0,1.56,5.1,586,Moderate
1252,24.1,72.6,27.7,36.5,35.3,6.5,1.95,8.4,493,Moderate
781,33.7,49.4,28.2,36.7,41.2,16.3,1.85,3.5,568,Poor
3550,37.2,91.9,0.1,14.3,39.2,21.2,1.6,3.5,435,Poor
993,26.0,71.5,31.4,34.6,21.3,3.9,0.97,12.7,463,Good
3386,17.5,51.6,7.5,22.3,18.4,16.8,1.56,10.7,284,Moderate
1454,27.4,78.0,5.0,21.9,33.8,16.5,1.57,5.6,468,Moderate
450,38.3,86.8,38.0,50.8,22.5,7.1,1.41,5.4,311,Moderate
